Title (News Shots),Categories,Date
"Gilead Reports Results of Biktarvy (Bictegravir, Emtricitabine, Tenofovir Alafenamide) in P-III Study 1490 for Patients with HIV-1",Pharma ,#N/A
Mirati Therapeutics Announces IND Submission of MRTX849 to Treat NSCLC &amp; CRC,Pharma,#N/A
Roche Licenses Halozyme's ENHANZE Technology for ~$190M for the Development of Therapeutic Targets,Biotech,#N/A
Janssen's (J&amp;J) Invokana (canagliflozin) Receives FDA Approval for MACE events in Adults with T2D,Regulatory,#N/A
"Biocardia, CellProThera &amp; SlngXpand Collaborates to Develop and Commercialize CD34+ Stem Cells in Singapore for Myocardial Infarction",Biotech,#N/A
"Lupin Recalls its 6,752 Testosterone Bottles from the US market",Pharma,#N/A
Coherus' Udenyca (pegfilgrastim-cbqv) Receives the US FDA Approval for Patients Receiving Myelosuppressive Chemotherapy,Biosimilars|Regulatory,#N/A
"Boehringer Ingelheim (BI) &amp; Eli Lilly Reports RWE Results of Jardiance (empagliflozin) in EMPRISE study, Presented at AHA 2018",Pharma,#N/A
Abeona Signs Exclusive License Agreement with Regenxbio to Develop and Commercialize NAV AAV9 vector,Biotech,#N/A
"Merck Signs a Clinical Trial Collaboration with FLX Bio, for a Combination Therapy",Pharma,#N/A
"Regeneron and Sanofi Reports Results of Praluent (alirocumab) in ODYSSEY OUTCOMES study in Patients with MACE events, Presented at AHA 2018",Biotech,#N/A
AstraZeneca Announces Acceptance of Priority Review of Lynparza's (olaparib) sNDA by FDA in Patients with BRAC-Mutated Advance Ovarian Cancer,Biotech,#N/A
Merck's Keytruda (pembrolizumab) Receives FDA Approval for the Treatment of Hepatocellular Carcinoma (HCC),Regulatory,#N/A
Roche Reports Acceptance of sBLA from FDA for its Tecentriq (atezolizumab) + Abraxane (nab-paclitaxel) for 1L Metastatic Triple- Negative Breast Cancer (TNBC),Biotech,#N/A
BioTime Acquires Asterias Biotherapeutics with Two of its Clinical Stage Cell Therapy Candidates,M&A,#N/A
BioTime Acquires Asterias Biotherapeutics with Two of its Clinical Stage Cell Therapy Candidates,Biotech,#N/A
Merck Reports Initiation of BLA Filling for V920 (rVSV?G-ZEBOV-GP) Under FDA for Ebola Zaire,Biotech,#N/A
Ferring Signs an Exclusive License Agreement with Invo for its INVOcell Intravaginal Culture (IVC) System in the US,Pharma,14/11/2018
Wugen Enters into License Agreement with Washington University for its CAR-T Therapy Technologies,Biotech,14/11/2018
Merck Reports Improved Overall Survival Results of Keytruda (pembrolizumab) vs Chemotherapy in KEYNOTE-181 Study,Biotech,15/11/2018
"Grunenthal Acquires Averitas Pharma for its Peripheral Neuropathic Pain Product, Qutenza (capsaicin)",M&A,15/11/2018
Lilly Files Lasmiditan to FDA for Acute Treatment of Migrane,Biotech,15/11/2018
Bristol-Myers Squibb Receives CHMP Recommendation for Opdivo (nivolumab) + Low-Dose Yervoy (ipilimumab) in 1L RCC Based in P-III CheckMate-214 study,Biotech,16/11/2018
"Ipsen's Cabometyx (cabozantinib, as monothx) Receives EU Approval for the Treatment of 2L Advance HCC",Regulatory,16/11/2018
"Pfizer to Raise Prices of its 41 Drugs in the US, in January 2019",Pharma,19/11/2018
Novartis' Kisqali (ribociclib) (as a Combination Therapy) Receives CHMP's Expanded Label Recommendation for HR+/HER2- Locally Advanced or Metastatic Breast Cancer,Biotech,19/11/2018
Gilead's Vemlidy (Tenofovir Alafenamide) Receives NMPA (CFDA) Approval for Chronic Hepatitis B Virus (HBV) Infection",Regulatory,19/11/2018
AstraZeneca Reports Results of Imfinzi (durvalumab) &amp; Tremelimumab in Global P-III MYSTIC Trial for Stage IV Non-Small Cell Lung Cancer (NSCLC),Biotech,19/11/2018
Genentech Collaborates with Immunocore to Co-develop IMC-C103C for MAGE-A4 (Melanoma-Associated Antigen A4),Pharma,20/11/2018
Leidos Collaborates with GeoVax for the Development of Immunotherapies for Cancer,Biotech,20/11/2018
"Sandoz and Pear Therapeutics Launches reSET Medical Mobile APP, for Patients with Substance Use Disorder (SUD)",DigiHealth,20/11/2018
Verily (Alphabet's Division) Holds its Smart Lens Project,MedTech,20/11/2018
Boston Scientific Acquires BTG with its Interventional Medicine Portfolio,M&A,21/11/2018
OrthroXel's Apex Femoral Nailing System Receives CE Mark Clearance in EU,MedTech,21/11/2018
"Mylan Recalls 15 Batches of Valsartan Globally, for the Treatment of Hypertension",Pharma,21/11/2018
Leo Pharma Collaborates with PellePharm for the Development of Drug Candidate for Gorlin Syndrome and Basal Cell Carcinoma (BCC),Pharma,21/11/2018
Genentech's Venclexta (venetoclax) Receives FDA's Accelerated Approval for Patients with Newly-Diagnosed Acute Myeloid Leukemia (AML),Biotech,22/11/2018
Pfizer and Zenith Epigenetics Collaborates to Evaluate ZEN-3694 &amp; Talazoparib for TNBC,Biotech,22/11/2018
Evotec and Immuneering Collaborates to Develop Novel Candidates for Rare Hereditary Metabolic Diseases,Biotech,22/11/2018
Medtronic to Acquire Nutrino Health Along with its AI-Based Continuous Glucose Monitoring (CGM) Technology,M&A,22/11/2018
Indivior Receives Health Canada Approval for Sublocade (SC) (Buprenorphine Extended-Release) in Patients with Moderate to Severe Opioid Use Disorder(OUD),Pharma,26/11/2018
"Mundipharma Receives EU Approval for Pelmeg (Pegfilgrastim, Biosimilar)",Biosimilars|Regulatory,26/11/2018
Novartis Receives EU Approval for Gene Therapy Luxturna (voretigene neparvovec) in Patients with Rare Inherited Retinal Disease,Regulatory,26/11/2018
Bristol-Myers' Opdivo and Yervoy Combination Couldn't Meet OS as Maintenance Therapy in esSCLC Patients Post 1L Chemo,Biotech,27/11/2018
RegenxBio and Rocket Signs Exclusive Worldwide License Agreement for NAV AAV9 Vector,Biotech,27/11/2018
Sandoz's Ziextenzo (pegfilgrastim) Receives EU Approval for Reduction in Duration of Neutropenia,Biosimilars|Regulatory,27/11/2018
"Genentech's ACTpen Receives FDA's Approval for Actemra (tocilizumab) to Treat Rheumatoid Arthritis (RA), Giant Cell Arteritis (GCA) and Two Forms of Juvenile Arthritis",MedTech,27/11/2018
Loxo's Vitrakvi (larotrectinib) Receives the US FDA Approval for the Treatment of Solid Tumors in Adults and Pediatric Patients,Biotech,28/11/2018
Novo Nordisk Reports Improved Results of Oral Semaglutide in PIONEER 9 Study in Patients with Type-2 Diabetes (T2D),Biotech,28/11/2018
Beigene Signs Exclusive License and Development Agreement with Zymeworks (ZW),Biotech,28/11/2018
Mesa Biotech's Accula RSV Test Receives FDA's 510(K) Clearance and CLIA Waiver for Respiratory Infections,MedTech,28/11/2018
Genentech Acquires Jecure Therapeutics for its Preclinical Stage NLRP3 inhibitors,M&A,29/11/2018
Merck's Delstrigo (doravirine / lamivudine / tenofovir disoproxil fumarate) &amp; Pifeltro (doravirine) Receives EU's Approval for the Treatment of HIV-1 Infection,Pharma,29/11/2018
Q BioMed Acquires Rights of Metastron from GE Healthcare,Pharma,29/11/2018
"ElectroCore's gammaCore (nVNS) Receives FDA's 510(k) Approval, a Novel Therapy for Cluster Headache in Adults",MedTech,29/11/2018
Astellas' Xospata (gilteritinib) Receives FDA ‘s Approval for 1L R/R Acute Myeloid Leukemia (AML) in Adults,Regulatory,30/11/2018
Vertex's Kalydeco (ivacaftor) Receives FDA's Expanded Label Approval for Cystic Fibrosis (CF) Aged 12 to &lt; 24 Months,Regulatory,30/11/2018
NTU SingaporeTTSH Develops AI based Smart Medical Device for Early Detection of Congestive Heart Failure,MedTech,30/11/2018
Shire's Takhzyro IV (lanadelumab) Receives EU's Approval for Hereditary Angioedema,Pharma,2018-03-12
Bluebird Bio and Celgene Reports Results of bb21217 in P-I (CRB-402) study for 3L+ r/r Multiple Myeloma,Biotech,2018-03-12
Pfizer Reports Results of PF-05280586 (rituximab biosimilar) in REFLECTIONS B328-06 study for CD20-Positive Non-Hodgkin Lymphoma,Biosimilars|Biotech,2018-03-12
GSK to Acquire Tesaro for its Zejula (niraparib) for $5.1B (£4.0 billion),M&A,2018-03-12
Cilag Acquires Exclusive Worldwide Rights of Argenx's Cusatuzumab (ARGX-110) for $1.6B,Pharma,2018-04-12
"Kite Reports Results of Yescarta (axicabtagene ciloleucel) in ZUMA-1 trial for Refractory Large B-Cell, Lymphoma, Presented at ASH 2018",Biotech,2018-04-12
Crown Laboratories Acquires Rights for GSK's Five OTC Drugs,Pharma,2018-04-12
Roche Reports Results of Kadcyla (trastuzumab emtansine) in P-III KATHERINE Study for HER2-positive Early Breast Cancer (eBC),Pharma,2018-06-12
Domain Therapeutics Signs Research and License Agreement with Boehringer Ingelheim (BI) for G-Protein Coupled Receptors (GPCRs),Biotech,2018-05-12
Roche Collaborates with Icagen for the Development of Drug Candidates for Neurological Disorders,Pharma,2018-06-12
Subtle an AI based Medical Device SubtlePET Receives FDA's 510(K) Clearance,MedTech,2018-06-12
Novartis Reports Results of BYL719 (alpelisib) + fulvestrant in P-III SOLAR-1 trial for HR+/HER2- Advanced Breast Cancer,Biotech,2018-07-12
Biogen Exercises Exclusive Worldwide Option to Develop &amp; Commercialize Ionis's BIIB067 (IONIS-SOD1RX) for Amyotrophic Lateral Sclerosis (ALS),Biotech,2018-07-12
Novartis Expands its Cell Therapy Collaboration with Intellia Therapeutics for CRISPR/Cas9-Based Therapy,Biotech,2018-07-12
"Gilead's Descovy (Emtricitabine, Tenofovir Alafenamide) Receives NMPA ‘s (CFDA) Approval for HIV-1 Infection",Biotech,2018-05-12
Innovate and Massachusetts General Hospital Collaborates to Develop Larazotide for Alcoholic Liver Disease,Pharma,2018-05-12
"Celltrion Reports Results of CT-P10 (rituximab, biosimilar) in P-III for Advance Follicular Lymphoma (AFL)",Biosimilars|Biotech,2018-05-12
NeuroPace Reports Positive Results of Next-Gen RNS System for Refractory Epilepsy in the US,MedTech,2018-05-12
"Genentech's Tecentriq Receives FDA Approval a Combination Therapy, for mNon-Sq NSCLC with No EGFR or ALK Genomic Tumor Aberrations",Pharma,2018-07-12
Daiichi Reports Results of [Fam-] Trastuzumab Deruxtecan (DS-8201) in P-I study for HER2 Low Expressing Metastatic Breast Cancer,Pharma,2018-10-12
Merck Licenses Cyclica's In-Silico Artificial Intelligence (AI) based Ligand Express Platform,Biotech,2018-10-12
AstraZeneca Reports Imfinzi (durvalumab) &amp; tremelimumab Results in P-III EAGLE trial for Advanced Head and Neck Cancer,Biotech,2018-10-12
Bristol-Myers (BMS) Collaborates with Vedanta Biosciences to Develop Combination Therapy for Advanced or Metastatic Cancers,Biotech,2018-11-12
Novartis Reports Results of Kisqali (ribociclib) + Endocrine Therapy in P-III MONALEESA trials for (HR+/HER2-) Advanced Breast Cancer,Biotech,2018-11-12
Shionogi Signs a Research Collaboration with UBE Industries for the Development of Anti-RS Virus Drug Candidates,Pharma,2018-11-12
"Sandoz Receives FDA's Clearance for reSET-O, a Medical Mobile App for Opioid Use Disorder (OUD)",DigiHealth,2018-11-12
"Astellas to Launch Xospata (gilteritinib) for R/R Acute Myeloid Leukemia (AML) with FLT3 Mutation, in the US",Pharma,2018-12-12
Circassia Plans to Exercise Option for the US Commercialization Rights for Tudorza (aclidinium) From AstraZeneca,Pharma,2018-12-12
Johnson&amp;Johnson (J&amp;J) Signs a Research Collaboration with Apple for Atrial Fibrillation (AFib),Biotech,18/1/2019
BioMed X and Boehringer Ingelheim (BI) Collaborates for Neurology Disorders,Pharma,18/1/2019
Ironwood Pharmaceuticals' Linzess (linaclotide) Receives NMPA (CMPA) Approval for Irritable Bowel Syndrome with Constipation (IBS-C),Pharma,16/1/2019
"FitBit and National Institutes of Health (NIH) Launches a Digital Health Project, Fitbit Bring-Your-Own-Device (BYOD)",DigiHealth,17/1/2019
AstraZeneca Signs an Exclusive Promotion Agreement with Luye Pharma for its Xuezhikang in China,Pharma,17/1/2019
"Roche Launches uPath Enterprise Software, a Digital PathologyTechnology",Biotech,17/1/2019
Abbott Exercises its Option to Acquire Cephea Valve Technologie,M&A,17/1/2019
Boehringer Ingelheim (BI) and Bioharmony Therapeutics Collaborates to Develop Bacteriophage Lysins,Biotech,16/1/2019
Beigene's Zanubrutinib (BGB-3111) Receives the US FDA's Breakthrough Therapy Designation for Mantle Cell Lymphoma (MCL),Regulatory,16/1/2019
Sanofi Licenses Biomunex Pharmaceuticals' BiXAb Technology to Develop Bi- and Multi-Specific Antibodies,Biotech,16/1/2019
"Abbott's Amplatzer Piccolo Occluder Receives FDA Approval, a Medical Device for Premature and Newborns with Patent Ductus Arteriosus (PDA)",Regulatory,15/1/2019
"Cipla Signs an Exclusive License Agreement with Bio-Thera for its BAT1706 (bevacizumab, biosimilar)",Biosimilars|Biotech,15/1/2019
Array Biopharma Reports Results of Triplet Combination Therapy in P-III BEACON CRC Trial for BRAF-Mutant Metastatic Colorectal Cancer (mCRC),Pharma,15/1/2019
Exelixis' Cabometyx (cabozantinib) Receives FDA Approval for Previously Treated Hepatocellular Carcinoma (HCC),Regulatory,15/1/2019
Bristol-Myers Squibb's (BMS) Opdivo (nivolumab) + Low-Dose Yervoy (ipilimumab) Receives EU Approval for 1L Intermediate- and Poor-Risk Advanced RCC,Biotech,15/1/2019
Ascletis Signs an Exclusive License Agreement with Alphamab for its KN035,Biotech,14/1/2019
Chiesi Farmaceutici Licenses Tum Bio's NCE401 for $74M,Pharma,14/1/2019
Knight Therapeutics Signs an Exclusive License Agreement with Puma Biotechnology for its Nerlynx (neratinib),Pharma,14/1/2019
RFPi's iCertainty Receives FDA 510(k) Clearance Approval for Blood Flow in Surgeries,MedTech,2019-11-01
Rafael Pharmaceuticals' Devimistat (CPI-613) Receives EMA's ODD for R/R Acute Myeloid Leukemia (AML) and Metastatic Pancreatic Cancer (mPC),Regulatory,2019-11-01
Yuhan Signs an Exclusive License Agreement with Glenmark for its Ryaltris,Pharma,2019-11-01
Sumitomo Dainippon Reports Results of Lurasidone Hydrochloride (lurasidone) in P-III JEWEL Study in Patients with Schizophrenia,Pharma,2019-11-01
Empatica's Embrace an AI Smartwatch Receives FDA's 510(K) Clearance Approval in Pediatric Patients Aged =6 yrs.,DigiHealth|Regulatory,2019-10-01
Elevian and Insilico Medicine Collaborates to Develop Therapies Targeting Aging,Biotech,2019-10-01
"Sanofi Reports Results of Cablivi (caplacizumab) in P-III HERCULES Study in Patients with Rare Blood Clotting Disorder, Published in NEJM",Pharma,2019-10-01
ImmunoGen to Sell Residual Royalty Rights for Kadcyla (ado-trastuzumab emtansine) to OMERS,Pharma,2019-09-01
Janssen (J&amp;J) Reports Filing of Stelara's (ustekinumab) in Group Type II Variation Application to EMA for Moderately to Severely Active Ulcerative Colitis (UC),Biotech|Regulatory,2019-09-01
Exelixis and Daiichi Sankyo's Minnebro (Esaxerenone) Receives MHLW Marketing Approval In Patients With Hypertension In Japan,Regulatory,2019-09-01
Astellas and Amgen Astellas' Evenity (romosozumab) Receives MHLW Approval for Patients with Osteoporosis at High Risk of Fracture in Japan,Regulatory,2019-09-01
3SBio Signs a License Agreement with Samsung Bioepis for its Biosimilars,Biosimilars|Biotech,2019-08-01
Eli Lilly to Acquire Loxo Oncology for $8B,M&A,2019-08-01
Novartis's SEG101(crizanlizumab) Receives FDA's Breakthrough Therapy(BT) Designation for Sickle Cell Disease,Regulatory,2019-08-01
Merck Exercises its Option to License NGM's NGM313 (MK-3655) for NASH and Type 2 Diabetics,Pharma,2019-04-01
Vanderbilt Center for Neuroscience Drug Discovery (VCNDD) to Collaborate with Boehringer Ingelheim(BI) for Neuropsychiatric Disorders,Pharma,2019-04-01
"Daiichi Signs an Exclusive License Agreement with Esperion, for $1.2B",Pharma,2019-04-01
"Merck's Keytruda(pembrolizumab) Receives 5 Approvals from PMDA, Japan across 3 Indications",Regulatory,2019-03-01
Bristol-Myers Squibb (BMS) to Acquire Celgene for $74B,M&A,2019-03-01
Progenics Signs Exclusive License Agreement with Curium for the Development of PyL in EU,MedTech,2019-03-01
"Celgene Licenses Aprinoia's APN-1607 an Imaging Tracer, for Neurodegenerative Diseases",MedTech,2019-03-01
Bristol-Myers Squibb Receives FDA's Approval for Sprycel (dasatinib) + CT in Patients with Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia (Ph+ ALL),Regulatory,2019-03-01
Teva's ProAir Digihaler (Albuterol Sulfate 117 mcg) Inhalation Powder Receives FDA Approval for Asthma &amp; COPD Patients Aged 4 Years or Older,Regulatory,31/12/2018
Betta Pharma Licenses Inventisbio's D-0316 to Treat Non-Small Cell Lung Cancer (NSCLC),Pharma,31/12/2018
"FDA Approves Elzonris (tagraxofusp), the First Treatment for Blastic Plasmacytoid Dendritic Cell Neoplasm and First CD123-Targeted Therapy",Regulatory,31/12/2018
Sanofi and Merck Receives FDA Approval for Vaxelis in Pediatric Patients,Regulatory,29/12/2018
Horizon Pharma's Ravitchi (Glycerol Phenylbutyrate) Receives FDA Approval for Expansion of Age Range for in Patients with Urea Cycle Disorder (UCD),Regulatory,28/12/2018
Innovent Biologics and Eli Lilly's Tyvyt (Sintilimab injection) Receives NMPA (CFDA) Approval for Classical Hodgkin's Lymphoma (cHL) Patients,Regulatory,28/12/2018
JHL Biotech Reports Randomization of Patients in P-III Study of JHL1101 for Diffuse Large B-Cell Lymphoma,Biosimilars|Biotech,28/12/2018
Merck and Pfizer Reports Results of Avelumab in P-III JAVELIN Ovarian 100 study for Previously Untreated Advanced Ovarian Cancer,Pharma,28/12/2018
"AbbVie Licenses Lupin's MALT1 Inhibitor Program, for $977M",Pharma,27/12/2018
Alexion's Ultomiris (Ravulizumab-Cwvz) Receives FDA Approval in Patients with Paroxysmal Nocturnal Hemoglobinuria (PNH),Biosimilars|Regulatory,27/12/2018
Zydus' Doxycycline Hyclate Delayed-Release Tablets USP and Febuxostat Tablets Receives FDA's Approval,Pharma,27/12/2018
Merck's Keytruda (pembrolizumab) Receives FDA's Approval for LA or Metastatic Merkel cell carcinoma (MCC),Pharma,20/12/2018
Bristol-Myers (BMS) Divests its UPSA Consumer Health Business to Taisho,Pharma,20/12/2018
AstraZeneca and Merck's Lynparza (olaparib) Receives FDA's Approval for 1L BRCA-Mutated Advanced Ovarian Cancer,Regulatory,20/12/2018
Albireo's A4250 Receives EU Orphan Drug Designation (ODD) for Biliary Atresia,Regulatory,19/12/2018
Puma Biotechnology Reports Results of Neratinib (PB272) in P-III NALA Trial for 3L HER2-Positive Metastatic Breast Cancer,Pharma,19/12/2018
Alcon to Acquire Tear Film Innovations for its iLux Medical Device,MedTech,19/12/2018
Eli Lilly Collaborates with Aduro Biotech for its cGAS-STING Pathway Inhibitor Program to Develop Immunotherapies,Biotech,19/12/2018
Amgen Signs an Immuno-Oncology Agreement with Molecular Partners' for its MP0310,Pharma,19/12/2018
Bristol-Myers' Sprycel (dasatinib) Receives CHMP Recommendation for Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia (ALL),Regulatory,18/12/2018
Ligand Purchases Palvella's Royalty Rights and Milestone Payments of PTX-022 for Pachyonychia Congenita,Regulatory,18/12/2018
Merck's Keytruda (pembrolizumab) Receives EU Approval for Resected Stage III Melanoma in Adults,Regulatory,18/12/2018
Lilly Acquires Hydra Biosciences with its Pre-Clinical Pain Program for Chronic Pain Syndromes,Biotech,17/12/2018
Merck Acquires Antelliq Group with its Digital Animal Health Technology,M&A,17/12/2018
Amgen's Nplate (Romiplostim) Receives FDA's Approval for Immune Thrombocytopenia Aged 1 year and Older,Regulatory,17/12/2018
Novartis' Xolair (omalizumab) Receives EU's Approval for Severe Allergic Asthma (SAA) and Chronic Spontaneous Urticaria (CSU),Regulatory,14/12/2018
Vertex‘s Orkambi (lumacaftor/ivacaftor) Receives Health Canada Approval for Cystic Fibrosis (CF) Aged 2 to 5 yrs.,Regulatory,14/12/2018
Axovant Sciences Licenses Two Gene Therapy Programs from University of Massachusetts for Rare and Fatal Neurodegenerative Genetic Disorders,Biotech,14/12/2018
Eli Lilly's Olumiant (baricitinib) Receives FDA's Fast Track Designation for Systemic Lupus Erythematosus (SLE),Regulatory,14/12/2018
AstraZeneca and AVEO Oncology Enter into an Immuno-Oncology Clinical Collaboration,Pharma,13/12/2018
Lilly Collaborates with AC Immune (AC) to Develop Candidates for Neurodegenerative Diseases,Pharma,13/12/2018
Merck Collaborates with Instituto Butantan to Develop Vaccines for Dengue,Pharma,13/12/2018
Oxford BioTherapeutics Licenses WuXi Biologics' WuXiBody Platform for Five Bispecific Antibodies,Biotech,13/12/2018
CorMedix Reports Results of Neutrolin in P-III LOCK-IT-100 Study for Patients with Hemodialysis,Pharma,18/1/2019
Thyas Signs an Exclusive License Agreement with iPS Academia Japan (iPS-AJ) to Develop Autologous Immunotherapies,Biotech,18/1/2019
"Samsung Bioepis' Biosimilar Transtuzumab Ontruzant (transtuzumab,dttb), Receives US FDA Approval for Oncology Indications",Biosimilars|Biotech,21/1/2019
Vertex Pharmaceuticals' Orkambi (lumacaftor+ivacaftor) Receives EU Approval for Cystic Fibrosis (CF) with Mutation in CFTR gene in Children Aged 2 to 5,Pharma|Regulatory,21/1/2019
Celgene Signs an Exclusive WW License Option with Obsidian for DDs Technology,Pharma,21/1/2019
"Sandoz's Erelzi (etanercept, biosimilar) Receives Health Canada Approval for Psoriatic Arthritis (PsA) in Adults",Biosimilars|Biotech,22/1/2019
Verily‘s Study Watch Receives FDA's 510 (k) Clearance for Cardiovascular Disorders,MedTech|Regulatory,22/1/2019
"Eli Lilly Reports Results of Cyramza (ramucirumab) in P-III REACH 2 study for 2L AFP-High HCC, Published in The Lancet",Biotech,22/1/2019
ProBioGen and CRISPR Therapeutics Signs a Multi-Year Research Collaboration for In Vivo Delivery Therapies,Biotech,22/1/2019
Eli Lilly Reports Results of Lartruvo (olaratumab) in ANNOUNCE P-III Study for Advanced or Metastatic Soft Tissue Sarcoma (STS),Biotech,22/1/2019
