Title (News Shots) ,ID,Date
"PharmaShots Weekly Snapshot (November 04-08, 2019)",23174,11-11-2019
"PharmaShots Weekly Snapshot (November 11-15, 2019)",23479,18-11-2019
"PharmaShots Weekly Snapshot (November 18-22, 2019)",23759,25-11-2019
"PharmaShots Weekly Snapshot (November 23-27, 2019)",24076,02-12-2019
"PharmaShots Weekly Snapshot (December 02-06, 2019)",24478,09-12-2019
"PharmaShots Weekly Snapshot (December 09-13, 2019)",24850,16-12-2019
"PharmaShots Weekly Snapshot (December 16-20, 2019)",25211,23-12-2019
"PharmaShots Weekly Snapshot (December 23-27, 2019)",25368,30-12-2019
"PharmaShots Weekly Snapshot (Dec 30, 2019-Jan 03, 2020)",25589,06-01-2020
"PharmaShots Weekly Snapshot (January 06-10, 2020)",25948,13-01-2020
"PharmaShots Weekly Snapshot (January 13-17, 2020)",26345,20-01-2020
"PharmaShots Weekly Snapshot (January 20-24, 2020)",26615,27-01-2020
"PharmaShots Weekly Snapshot (January 27-31, 2020)",26876,03-02-2020
"PharmaShots Weekly Snapshot (February 03-07, 2020)",27166,10-02-2020
"PharmaShots Weekly Snapshot (February 10-14, 2020)",27605,17-02-2020
"PharmaShots Weekly Snapshot (February 17-21, 2020)",27974,24-02-2020
"PharmaShots Weekly Snapshot (February 24-28, 2020)",28290,02-03-2020
"PharmaShots Weekly Snapshot (March 02-06, 2020)",28626,09-03-2020
"PharmaShots Weekly Snapshot (March 09-13, 2020)",28964,16-03-2020
"PharmaShots Weekly Snapshot (March 16-20, 2020)",29448,23-03-2020
"PharmaShots Weekly Snapshot (March 23-27, 2020)",29884,30-03-2020
"PharmaShots Weekly Snapshot (March 30 - April 03, 2020)",30273,06-04-2020
"PharmaShots Weekly Snapshot (April 06 -10, 2020)",30728,13-04-2020
"PharmaShots Weekly Snapshot (April 13 -17, 2020)",31207,20-04-2020
"PharmaShots Weekly Snapshot (April 20 -24, 2020)",31789,27-04-2020
"PharmaShots Weekly Snapshot (April 27 -May 01, 2020)",32379,04-05-2020
"PharmaShots Weekly Snapshot (May 04-08, 2020)",32817,11-05-2020
"PharmaShots Weekly Snapshot (May 11-15, 2020)",33199,18-05-2020
"PharmaShots Weekly Snapshot (May 18-22, 2020)",33646,25-05-2020
"PharmaShots Weekly Snapshot (Jun 01-05, 2020)",34429,08-06-2020
"PharmaShots Weekly Snapshot (Jun 08- 12, 2020)",34780,15-06-2020
"PharmaShots Weekly Snapshot (Jun 15-19, 2020)",35304,22-06-2020
"PharmaShots Weekly Snapshot (Jun 22- 26, 2020)",35770,29-06-2020
"PharmaShots Weekly Snapshot (Jun 29 - Jul 03, 2020)",36152,06-07-2020
"PharmaShots Weekly Snapshots (July 06 - 10, 2020)",36499,13-07-2020
"PharmaShots Weekly Snapshots (July 13- 17, 2020)",36996,20-07-2020
"PharmaShots Weekly Snapshots (July 20- 24, 2020)",40694,27-07-2020
"PharmaShots Weekly Snapshots (August 03- 07, 2020)",41277,06-08-2020
"PharmaShots Weekly Snapshots (July 13- 17, 2020)",41313,20-07-2020
"PharmaShots Weekly Snapshots (July 20- 24, 2020)",41314,27-07-2020
"PharmaShots Weekly Snapshots (July 27- 31, 2020)",41315,03-08-2020
"PharmaShots Weekly Snapshots (August 10 - 14, 2020)",41615,14-08-2020
PharmaShots Weekly Snapshot (Aug 17 -21 2020),46603,21-08-2020
"PharmaShots Weekly Snapshot (Aug 24 -28, 2020)",47269,28-08-2020
"PharmaShots Weekly Snapshot (Aug 31 – Sept 04, 2020)",47911,04-09-2020
"PharmaShots Weekly Snapshot (Sept 07 -11, 2020)",48389,11-09-2020
"PharmaShots Weekly Snapshot (Sept 14 -18, 2020)",48796,18-09-2020
"PharmaShots Weekly Snapshot (Sept 21-25, 2020)",49216,25-09-2020
"PharmaShots Weekly Snapshot (Sept 28 – Oct 1, 2020)",49787,02-10-2020
"PharmaShots Weekly Snapshot (Oct 5-9, 2020)",50131,09-10-2020
"PharmaShots Weekly Snapshot (Oct 12-16, 2020)",50517,16-10-2020
"PharmaShots Weekly Snapshot (Oct 19 - 23, 2020)",50959,23-10-2020
"PharmaShots Weekly Snapshot (Oct 26 – 30, 2020)",51422,30-10-2020
"PharmaShots Weekly Snapshot (Nov 02-06, 2020)",51785,06-11-2020
"PharmaShots Weekly Snapshots (November 09-13, 2020)",52135,13-11-2020
"PharmaShots Weekly Snapshot (November 16-20, 2020)",52464,20-11-2020
"PharmaShots Weekly Snapshot (Nov 23 – 27, 2020)",52876,27-11-2020
"PharmaShots Weekly Snapshot (Nov 30 – Dec 04, 2020)",53226,04-12-2020
"PharmaShots Weekly Snapshots (December 7-11, 2020)",53507,11-12-2020
"PharmaShots Weekly Snapshots (Dec 14-18, 2020)",53781,18-12-2020
"PharmaShots Weekly Snapshots (Dec 21-23, 2020)",53945,24-12-2020
"PharmaShots Weekly Snapshots (Dec 28- 31, 2020)",54244,31-12-2020
"PharmaShots Weekly Snapshot (January 4-8, 2020)",54566,08-01-2021
"PharmaShots Weekly Snapshots (Jan 11- 15, 2021)",54889,15-01-2021
"PharmaShots Weekly Snapshots (Jan 18 - 22, 2021)",55377,22-01-2021
"PharmaShots Weekly Snapshots (Jan 25- 29, 2021)",55625,29-01-2021
"PharmaShots Weekly Snapshot (February 01-05, 2021)",55867,05-02-2021
"PharmaShots Weekly Snapshots (Feb 08 - 12, 2021)",56128,12-02-2021
"PharmaShots Weekly Snapshots (Feb 15- 19, 2021)",56377,19-02-2021
"PharmaShots Weekly Snapshots (Feb 22- 26, 2021)",56616,26-02-2021
"PharmaShots Weekly Snapshots (Mar 01 - 05, 2021)",56894,05-03-2021
"PharmaShots Weekly Snapshots (Mar 08 – 12, 2021)",57298,12-03-2021
"PharmaShots Weekly Snapshots (Mar 15 – 19, 2021)",57578,19-03-2021
"PharmaShots Weekly Snapshots (Mar 22 – 26, 2021)",57808,26-03-2021
"PharmaShots Weekly Snapshots (Mar 29 – Apr 02, 2021)",58092,02-04-2021
"PharmaShots Weekly Snapshots (April 05 – 09, 2021)",58353,09-04-2021
"PharmaShots Weekly Snapshots (April 12 – 16, 2021)",58613,16-04-2021
"PharmaShots Weekly Snapshots (April 19 – 23, 2021)",58849,23-04-2021
"PharmaShots Weekly Snapshots (April 26 – 30, 2021)",59497,30-04-2021
"PharmaShots Weekly Snapshots (May 03 – 07, 2021)",59773,07-05-2021
"PharmaShots Weekly Snapshots (May 10 – 14, 2021)",60055,14-05-2021
"PharmaShots Weekly Snapshots (May 17 – 21, 2021)",60329,21-05-2021
"PharmaShots Weekly Snapshots (May 24 – 28, 2021)",60544,28-05-2021
"PharmaShots Weekly Snapshots (May 31 – June 4, 2021)",60928,04-06-2021
"PharmaShots Weekly Snapshots (June 07 – 11, 2021)",61167,11-06-2021
"PharmaShots Weekly Snapshots (June 14 – 18, 2021)",61419,18-06-2021
"PharmaShots Weekly Snapshots (June 21 – 25, 2021)",61654,25-06-2021
"PharmaShots Weekly Snapshots (June 28 – July 02, 2021)",61898,02-07-2021
"PharmaShots Weekly Snapshots (July 05 – 09, 2021)",62168,09-07-2021
"PharmaShots Weekly Snapshots (July 12 – 16, 2021)",62426,16-07-2021
"PharmaShots Weekly Snapshots (July 19 – 23, 2021)",62678,23-07-2021
"PharmaShots Weekly Snapshots (July 26 – 30, 2021)",62937,30-07-2021
"PharmaShots Weekly Snapshots (August 02 – 06, 2021)",63191,06-08-2021
"PharmaShots Weekly Snapshots (August 09 – 13, 2021)",63443,13-08-2021
"PharmaShots Weekly Snapshots (August 16 – 20, 2021)",63660,20-08-2021
"PharmaShots Weekly Snapshots (August 23 – 27, 2021)",63891,27-08-2021
"PharmaShots Weekly Snapshots (August 30 – September 03, 2021)",64147,03-09-2021
"PharmaShots Weekly Snapshots (September 06 -10, 2021)",64382,10-09-2021
"PharmaShots Weekly Snapshots (September 13 -17, 2021)",64591,17-09-2021
"PharmaShots Weekly Snapshots (September 20 - 24, 2021)",64800,24-09-2021
"PharmaShots Weekly Snapshots (September 27 – October 01, 2021)",65022,01-10-2021
"PharmaShots Weekly Snapshots (October 04 - 08, 2021)",65317,08-10-2021
"PharmaShots Weekly Snapshots (October 11 – 15, 2021)",65520,15-10-2021
"PharmaShots Weekly Snapshots (October 18 – 22, 2021)",65735,22-10-2021
"PharmaShots Weekly Snapshots (October 25 – 29, 2021)",65986,29-10-2021
"PharmaShots Weekly Snapshots (November 01 – 03, 2021)",66157,05-11-2021
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
