S.No.,Product,CompanyName
207,"DEPO-PROVERA, Medroxyprogesterone Acetate",Mylan
208,,Abbott
209,"TECENTRIQ,Atezolizumab",Roche
210,"LYNPARZA, Olaparib","AstraZeneca, Merck & Co. "
211,Dapirolizumab Pegol,"Biogen, UCB"
212,"Aimovig, Erenumab",Novartis
213,"Monalizumab, IPH-5201","Astrazeneca, Innate Pharma"
214,"Taltz, Ixekizumab",Eli Lilly
215,,Alcon
216,OMS-721,Omeros
217,EB-8018,"Takeda, Enterome Bioscience"
218,,"LEO Pharma, Zymeworks"
219,"Amgevita, Adalimumab","Amgen, Orion"
220,Darolutamide,"Orion, Bayer"
221,Tanezumab,Pfizer
222,"AXO-LENTI-PD, OXB-102",Axovant
223,"Lokelma, Sodium zirconium cyclosilicate",AstraZeneca
224,"ADCETRIS, Brentuximab Vedotin",Seattle Genetics
225,Bempedoic Acid,Esperion
226,"Tropifexor, LJN452 (Novartis) PF-05221304, PF-06865571, PF-06835919 (Pfizer)","Novartis,Pfizer"
227,QR-1123,"ProQR, Ionis Pharma"
228,"Xyrem, Sodium oxybate",Jazz
229,"Nexium, Esomeprazole, Vimovo, Naproxen","AstraZeneca,Grunenthal"
230,"Xtandi, Enzalutamide",Astellas
231,"BIKTARVY,Bictegravir,Emtricitabine/Tenofovir Alafenamide",Gilead
232,MRTX849,Mirati Therapeutics
233,,"Roche,Halozyme"
234,"INVOKANA, canagliflozin",Janssen Pharmaceuticals
235,,"Biocardia, CellProThera, "
236,Testosterone ,Lupin
237,"UDENYCA, Pegfilgrastim",Coherus BioSciences
238,"Jardiance, Empagliflozin","Boehringer Ingelheim,Eli Lilly"
239,,"Abeona, Regenxbio"
240,"FLX475 (FLXBio) Keytruda, Pembrolizumab (Merck)","Merck & Co., FLXBio"
241,"PRALUENT, Alirocumab","Regeneron, Sanofi"
242,"LYNPARZA, Olaparib",AstraZeneca
243,"KEYTRUDA, Pembrolizumab",Merck & Co. 
244,"TECENTRIQ,Atezolizumab,ABRAXANE,Nab-paclitaxel",Roche
245,"OPC1, VAC2","BioTime, Asterias Biotherapeutics"
246,"V920,rVSVâˆ†G-ZEBOV-GP",Merck & Co. 
247,,"Ferring, INVO Bioscience"
248,,"Wugen,  Washington University in St. Louis"
249,"KEYTRUDA, Pembrolizumab",Merck & Co.
250,"Qutenza, Capsaicin","Grunenthal, Averitas Pharma"
251,Lasmiditan,Eli Lilly
252,"Opdivo, Nivolumab, Yervoy, Ipilimumab",Bristol-Myers Squibb
253,"Cabometyx, Cabozantinib",Ipsen
254,,Pfizer
255,"Kisqali, Ribociclib",Novartis
256,"VEMLIDY,Tenofovir Alafenamide",Gilead
257,"Imfinzi, Durvalumab, Tremelimumab",AstraZeneca
258,IMC-C103C,"Genentech, Immunocore"
259,,"Leidos, GeoVax Labs"
260,,"Sandoz, Pear"
261,,Verily
262,,Boston Scientific
263,,OrthroXel
264,"Valsartan, Amlodipine, Hydrochlorothiazide ",Mylan
265,Patidegib,"Leo Pharma, PellePharm"
266,"VENCLEXTA, Venetoclax",Genentech
267,Talazoparib (Pfizer) ZEN-3694 (Zenith),"Pfizer, Zenith"
268,,"Evotec, Immuneering"
269,,"Medtronic, Nutrino Health"
270,"Sublocade, Buprenorphine Extended-Release",Indivior
271,"PELMEG, Pegfilgrastim Biosimilar",Mundipharma
272,"LUXTURNA, Voretigene neparvovec",Novartis
273,"Opdivo, Yervoy, Nivolumab, Ipilimumab",Bristol-Myers
274,,"REGENXBIO, Rocket Pharma"
275,"ZIEXTENZO, Pegfilgrastim",Sandoz
276,"ACTpen, ACTEMRA,Tocilizumab",Genentech
277,"Vitrakvi, Larotrectinib",Loxo Oncology
278,Semaglutide,Novo Nordisk
279,"Azymetric, ZW-25, ZW-25","BeiGene, Zymeworks"
280,,Mesa Biotech
281,,"Genentech, ecure Therapeutics (Genentech)"
282,"DELSTRIGO, Doravirine, LAMIVUDINE, TENOFOVIR DISOPROXIL FUMARATE, PIFELTRO",Merck & Co. 
283,METASTRON,"Q BioMed,GE Healthcare"
284,"GammaCore, nVNS",ElectroCore
285,"Xospata,gilteritinib",Astellas
286,"KALYDECO, Ivacaftor",Vertex
287,,NTU SingaporeTTSH
288,"Takhzyro IV, Lanadelumab",Shire
289,bb-21217,"bluebird bio, Celgene"
290,"PF-05280586, Rituximab Biosimilar",Pfizer
291,"Zejula,niraparib","GSK,Tesaro"
292,"Cusatuzumab, ARGX110","Cilag, Argenx"
293,"YESCARTA, Axicabtagene Ciloleuce",Kite Pharma
294," PanOxyl, Sarna, Zeasorb, Desenex, Mineral Ice","Crown Laboratories, GSK"
295,"KADCYLA, Ado-trastuzumab emtansine",Roche
296,,"Domain Therapeutics, Boehringer Ingelheim"
297,,"Roche, Icagen"
298,SubtlePET,Subtle Medical
299,"BYL-719, Alpelisib, Fulvestrant",Novartis
300,"BIIB-067, IONIS-SOD1RX","Biogen, Ionis Pharma"
301,,"Novartis,Intellia Therapeutics"
302,"DESCOVY,Emtricitabine/Tenofovir Alafenamide",Gilead
303,Larazotide acetate,"Innovate UK, Massachusetts General Hospital"
304,Rituximab Biosimilar,Celltrion 
305,,NeuroPace
306,"TECENTRIQ, AVASTIN",Genentech
307,"Trastuzumab Deruxtecan, DS-8201",Daiichi Sankyo
308,In-Silico,"Merck & Co., Cyclica"
309,"Imfinzi,durvalumab,tremelimumab",AstraZeneca
310,"OPDIVO, Nivolumab","Bristol-Myers Squibb, Vedanta Biosciences"
311,"KISQALI, Ribociclib",Novartis
312,,"Shionogi, Ube Industries"
313,reSET-O,Sandoz
314,"XOSPATA, gilteritinib",Astellas
315,TUDORZA PRESSAIR,"Circassia, AstraZeneca"
316,,"Johnson&amp,Apple"
317,,"BioMed X, Boehringer Ingelheim"
318,"LINZESS, Linaclotide",Ironwood Pharmaceutical
319,,"Fitbit, National Institutes of Health"
320,Xuezhikang,"AstraZeneca, Luye"
321,uPath Enterprise Softwar,Roche
322,,"Abbott, Cephea Valve Technologie"
323,,"Boehringer Ingelheim, Bioharmony Therapeutics"
324,"Zanubrutinib, BGB-3111",BeiGene 
325,,"Sanofi, Biomunex"
326,Amplatzer Piccolo ,Abbott
327,"BAT-1706, Bevacizumab Biosimilar","Cipla, Bio-Thera Solutions"
328,"Mektovi, Binimetinib ",Array BioPharma
329,"CABOMETYX, Cabozantinib",Exelixis
330,"Opdivo, Nivolumab, Yervoy, Ipilimumab",BMS
331,"KN-035, ASC-22","Ascletis, Alphamab"
332,NCE-401,"Chiesi, Tium Bio"
333,"NERLYNX, Neratinib","Knight Therapeutics, Puma Biotechnology"
334,iCertainty,RFPi
335,"Devimistat, CPI-613",Rafael Pharmaceuticals
336,RYALTRIS,"Yuhan, Glenmark"
337,Lurasidone Hydrochloride,Sumitomo Dainippon Pharma
338,AI Smartwatch,Empatica
339,,"Elevian, Insilico Medicine"
340,"Cablivi, Caplacizumab",Sanofi
341,"KADCYLA, Ado-trastuzumab emtansine","ImmunoGen, OMERS"
342,"STELARA, ustekinumab",Janssen Pharmaceuticals
343,"Minnebro, Esaxerenone","Exelixis, Daiichi Sankyo"
344,"EVENITY, Romosozumab","Amgen, UCB"
345,SB-8 ,"3SBio, Samsung Bioepis"
346,,"Eli Lilly, Loxo Oncology"
347,"SEG-101, Crizanlizumab",Novartis
348,"NGM-313, MK-3655","Merck & Co., NGM"
349,,"VCNDD, Boehringer Ingelheim"
350,,"Daiichi Sankyo, Esperion"
351,"KEYTRUDA, Pembrolizumab",Merck & Co. 
352,,"BMS, Celgene"
353, PyL,"Progenics, Curium"
354,APN-1607,"Celgene, APRINOIA"
355,"SPRYCEL, Dasatinib",BMS
356,"ProAir Digihaler, ALBUTEROL SULFATE",Teva
357,D-0316,"Betta Pharmaceuticals, InventisBio"
358,"ELZONRIS, Tagraxofusp",Stemline
359,VAXELIS,"Sanofi, Merck & Co. "
360,"Ravitchi, Glycerol Phenylbutyrate",Horizon Therapeutics
361,"TYVYT,Sintilimab ","Innovent Biologics,Eli Lilly"
362,"Rituximab Biosimilar, JHL-1101",JHL Biotech
363,Avelumab,"Merck KGaA, Pfizer"
364,,"AbbVie, Lupin"
365,"ULTOMIRIS, Ravulizumab-Cwvz",Alexion
366,"Doxycycline Hyclate, Febuxostat",Zydus
367,"KEYTRUDA, Pembrolizumab",Merck & Co. 
368,,"BMS, Taisho Pharmaceutical Holdings"
369,"LYNPARZA, Olaparib","AstraZeneca, Merck & Co. "
370,A-4250,Albireo
371,"Neratinib, PB-272",Puma Biotechnology
372,,Alcon
373,,"Eli Lilly,  Aduro Biotech"
374,MP-0310,Amgen
375,"SPRYCEL, Dasatinib",BMS
376,PTX-022,"Ligand, Palvella"
377,"KEYTRUDA, Pembrolizumab",Merck & Co. 
378,,"Eli Lilly, Hydra Biosciences"
379,,"Merck & Co., Antelliq"
380,"NPLATE, Romiplostim",Amgen
381,"XOLAIR, Omalizumab",Novartis
382,"ORKAMBI, lumacaftor, Ivacaftor",Vertex
383,"AXO-AAV-GM1,  AXO-AAV-GM2",Sio Gene Therapies (formerly Axovant)
384,"OLUMIANT, Baricitinib",Eli Lilly
385,,"AstraZeneca, AVEO"
386,,"Eli Lilly, AC Immune"
387,Dengue Vaccine,"Merck & Co.,Instituto Butantan"
388,,"Oxford BioTherapeutics, WuXi Biologics"
389,Neutrolin,CorMedix
390,,"Thyas, iPS Academia Japan"
391,"Transtuzumab, ONTRUZANT, transtuzumab-dttb",Samsung Bioepis
392,"ORKAMBI, lumacaftor, Ivacaftor",Vertex
393,DDs Technology,"Celgene, Obsidian Therapeutics"
394,"ERELZI, etanercept",Sandoz
395,Study Watch,Verily
396,"CYRAMZA, Ramucirumab",Eli Lilly
397,CRISPR/CAS9,"ProBioGen, CRISPR Therapeutics"
398,"LARTRUVO, Olaratumab",Eli Lilly
399,"BLINCYTO, Blinatumomab",Amgen
400,A-4250,Albireo
401,KL-01401,"Purdue Pharma, Klaria"
402,TLC-178,Taiwan Liposome
403,TactiCath,Abbott
404,,"B-MoGen Biotechnologies, CytoSen"
405,,Athersys
406,Fostamatinib,"Grifols, Rigel"
407,MAP Report,23andMe
408,,"Philogen, J&J, Novartis, Celgene"
409,,
410,MAN-01,"Mannin Research, McMaster University"
411,,"Vertex, Merck & Co. "
412,,EPIX (Medtronic)
413,"RUBRACA, Rucaparib",Clovis Oncology
414,"TOSYMRA, Sumatriptan Nasal Spray",Dr. Reddy's
415,"REPATHA, Evolocumab",Amgen
416,Derazantinib,"Roche,Basilea"
417,"ABP-798, Rituximab","Amgen, Allergan"
418,Rosa Knee System,Zimber Biomet
419,"IMBRUVICA, Ibrutinib, GAZYVA, Obinutuzumab",AbbVie
420,"ULTOMIRIS, Ravulizumab-cwvz",Alexion
421,ALV-107,"Purdue Pharma, Alivio Therapeutics"
422,"IBI-305, Bevacizumab",Innovent Biologics
423,"KALYDECO, Ivacaftor",Vertex
424,Mazor X Stealth Edition,Medtronic
425,"ZEJULA, Niraparib",Zai Lab
426,Tanezumab,"Pfizer, Eli Lilly"
427,"TAK-003, Dengue Vaccine",Takeda
428,"LATUDA, Lurasidone HCl",Sumitomo Dainippon Pharma
429,,EMA
430,"VY-AADC, VY-FXN01","Neurocrine Biosciences, Voyager"
431,Crenezumab,Roche
432,LUMOXITI,AstraZeneca
433,ACTEMRA,Genentech
434,CABOMETYX,Ipsen
435,"DELSTRIGO, PIFELTRO",Merck & Co.
436,"UDENYCA, Pegfilgrastim",Coherus BioSciences
437,,"Anaeropharma Science, Astellas"
438,,"I-Mab, Wuxi Biologics"
439,LIBTAYO,Sanofi
440,,"Kite Pharma (Gilead), HiFiBiO Therapeutics"
441,TRESIBA,Novo Nordisk
442,"RYANODEX, Dantrolene Sodium","Eagle Pharmaceuticals, USAMRICD"
443,"Xlucane, LUCENTIS",Xbrane Biopharma
444,,"MeiraGTx, Vector Neurosciences"
445,Ozanimod,Celgene
446,,"Myriad Genetics, Pfizer"
447,,"Therapiva, Dr. Reddy's"
448,,"Themis Bioscience, Max-Planck-Innovation"
449,"IMBRUVICA, Ibrutinib, Gazyva, Obinutuzumab",AbbVie
450,"HULIO, Adalimumab",Mylan
451,"OGIVRI, Trastuzumab","Mylan, Biocon"
452,"IBRANCE, Fulvestrant",Pfizer
453,"TAFINLAR, Dabrafenib, MEKINIST, Trametinib",Novartis
454,Bimekizumab ,UCB
455,"XOFLUZA,Baloxavir Marboxil",Roche
456,Valiant Navion,Medtronic
457,"EYLEA, Aflibercept",Regeneron
458,Bempedoic Acid,Esperion
459,,"Eli Lilly, Dicerna"
460,,"Henry Ford Health System, G3 Pharmaceuticals"
461,,"Gilead,Tango Therapeutics"
462,"Hymiroz, Adalimumab-adaz",Sandoz
463,"VENCLEXTA,Venclyxto GAZYVA,Gazyvaro",Roche
464,"Venclyxto,Venetoclax,MabThera,Rituximab",Roche
465,"DNL-747, DNL-758 ","Sanofi, Denali "
466,"Symkevi, Tezacaftor, Ivacaftor, KALYDECO, Ivacaftor",Vertex
467,,"Aileron Therapeutics, Dana-Farber Cancer Institute"
468,Alpha-Synuclein Antibody,"AbbVie, BioArctic"
469,Sequel SMRT Technology,"Illumina, Pacific Biosciences"
470,"ZULRESSO, Brexanolone",Sage Therapeutics
471,,"Eli Lilly, NextCure"
472,"REPATHA, Evolocumab",Amgen
473,AMG-714 (PRV-015),"Amgen, Provention Bio"
474,"LENVIMA, Lenvatinib",Eisai
475,"REPATHA, Evolocumab",Amgen
476,"GILENYA, Fingolimod",Novartis
477,"Erleada, apalutamide",Janssen
478,V-114,Merck & Co.
479,,Zuckerman Institute
480,"ALIMTA, PEMETREXED",Eli Lilly
481,,"Janssen Pharmaceuticals, MeiraGTx"
482,,"Bayer, Kyoto University"
483,CAEL-101,"Alexion, Caelum Biosciences"
484,AT-132,Audentes
485,,"Ono, Repare"
486,,Roche
487,"JEUVEAU, PrabotulinumtoxinA-xvfs",Evolus
488,KYMRIAH,Novartis
489,"KEYTRUDA, Pembrolizumab",Merck & Co.
490,ENHANZE Technology,"Argenx, Halozyme"
491,"OLUMIANT, Baricitinib",Eli Lilly
492,BL-8040,BioLineRX
493,Lemborexant,"Eisai, Purdue Pharma"
494,MEDI-8897,AstraZeneca
495,,"Novartis, AveXis"
496,,"Celgene, Juno Therapeutics"
497,,"Sanofi, Bioverativ"
498,Ozanimod,Celgene
499,,"GSK, Novartis"
500,,"Genentech, Xencor"
501,Solanezumab,Eli Lilly
502,,"Novo Nordisk,Genentech,Sanofi"
503,HP-3000,"Kyowa Kirin, Hisamitsu"
504,,Pizer
505,"Imipenem, Cilastatin, Relebactam",Merck & Co.
506,,"GSK, Pfizer"
507,Isatuximab,Sanofi
508,"RETACRIT, Epoetin alfa-epbx",Pfizer
509,"NIVESTYM, Filgrastim-aafi",Pfizer
510,"TRUXIMA, Rituximab-abbs",Celltrion
511,"HERZUMA, Trastuzumab-pkrb, HERCEPTIN","Celltrion, Teva"
512,"MVASI, Bevacizumab","Amgen, Allergan"
513,"HERZUMA, Trastuzumab, CT-P6",Celltrion
514,"ABP-980, HERCEPTIN","Amgen, Allergan"
515,"ZESSLY, Infliximab",Sandoz
516,"HYRIMOZ, Adalimumab",Sandoz
517,"FULPHILA, Pegfilgrastim","Biocon, Mylan "
518,SEMGLEE,"Mylan, Biocon"
519,M7824,"GSK, Merck KGaA"
520,"CABLIVI, Caplacizumab-yhdp",Sanofi
521,"NUZYRA, Omadacycline",Paratek
522,"JUXTAPID, Lomitapide","Recordati, Aegerion"
523,FASENRA,AstraZeneca
524,,L. (P&G)
525,Pipeline Flex ,Medtronic
526,"BRINEURA, Cerliponase Alfa",BioMarin
527,Omniab Technology,"Genagon, Ligand"
528,M6-C Artificial Cervical Disc,Orthofix
529,,"Galapagos, Evotec"
530,,"C-Bridge Capita, Samsung Bioepis"
531,"EYLEA, Aflibercept",Regeneron
532,"Ambaro, Valsartan, Amlodipine Besylate Salt",Pfizer
533,CP-101,Finch
534,"OPDIVO, Nivolumab, YERVOY, Ipilimumab",BMS
535,"XTANDI, Enzalutamide",Astellas
536,MOB-015,"Bayer, Moberg Pharma"
537,"ADCETRIS, Brentuximab Vedotin ",Takeda
538,"DARZALEX, Daratumumab",Genmab
539,Selonsertib,Gilead
540,TNB-383B,"AbbVie, TeneoOne"
541,"SPRAVATO, esketamine",Janssen Pharmaceuticals
542,Lebrikizumab,"Almirall, Dermira"
543,,"ITROM Pharmaceutical Group, Mithra Pharmaceuticals"
544,"EGATEN, Triclabendazole",Novartis
545,,"J&J, Auris Health"
546,PROLEUKIN,"Clinigen Group, Novartis"
547,,"Amgen, Abilita Bio"
548,VB10.16 (Vaccibody),"Roche,Vaccibody"
549,Darolutamide,Bayer
550,CDX-6114,Codexis
551,"Opdivo, Nivolumab, Yervoy, Ipilimumab",BMS
552,,"Novartis, AbCellera"
553,Cenobamate,"Arvelle Therapeutics, SK Biopharmaceuticals"
554,"KEYTRUDA, Pembrolizumab",Merck & Co.
555,"VITRAKVI, BAY-2731954","Bayer, Loxo Oncology"
556,Dual Chamber IPGs,Medtronic
557,,Medtronic
558,"INLYTA, Axitinib",Pfizer
559,iPSCs,Keio University School of Medicine
560,"Polatuzumab vedotin-piiq,Entrectinib",Roche
561,"Chidamide, Tucidinostat (Chipscreen) Sintilimab, IBI-305 (Innovent)","Innovent Biologics,Shenzhen Chipscreen"
562,"FOTIVDA, Tivozanib",AVEO
563,"KEYTRUDA, Pembrolizumab",Merck & Co.
564,"Esperoct, Turoctocog alfa pegol- N8-GP",Novo Nordisk
565,"ALKS-4230 (Alkermes) Rucaparib, Lucitanib (Clovis)","Alkermes, Clovis Oncology"
566,Tanezumab,"Pfizer, Eli Lilly"
567,EM-100,"Bausch + Lomb, Eton "
568,"KEYTRUDA, Pembrolizumab",Merck & Co.
569,,Mustang Bio
570,"LibreLink, LibreView ","Novo Nordisk, Abbott"
571,"HUMIRA, Adalimumab",AbbVie
572,,Immune Design (Merck)
573,"HUMIRA, Adalimumab","AbbVie, Eisai"
574,"Omecamtiv Mecarbil
",Amgen
575,,"Morphic Therapeutic, Janssen Biotech"
